PersonID,country,source,introelapse,testelapse,surveyelapse,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,VCL1,VCL2,VCL3,VCL4,VCL5,VCL6,VCL7,VCL8,VCL9,VCL10,VCL11,VCL12,VCL13,VCL14,VCL15,VCL16,education,urban,gender,engnat,age,screensize,uniquenetworklocation,hand,religion,orientation,race,voted,married,familysize,major
1,IN,2,19,167,166,1,5,7,7,7,7,7,5,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,2,3,2,2,16,1,1,1,12,1,10,2,1,2,
2,US,2,1,193,186,6,5,4,7,5,4,7,7,1,5,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,2,1,16,2,1,2,7,0,70,2,1,4,
3,PL,2,5,271,122,2,5,2,2,5,6,5,5,3,2,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,2,3,2,2,17,2,1,1,4,3,60,1,1,3,
4,US,2,3,261,336,1,1,7,4,6,4,6,1,6,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,3,2,1,13,2,1,2,4,5,70,2,1,5,biology
5,MY,2,1766,164,157,2,5,3,6,5,5,5,6,3,3,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,3,2,2,2,19,2,2,3,10,1,10,2,1,4,Psychology
6,US,2,4,349,213,2,1,6,1,7,7,7,2,6,7,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,3,2,2,20,2,1,1,4,1,70,2,1,4,
7,MX,2,1143,45459,170,2,5,6,5,3,2,6,3,5,5,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,2,3,2,2,17,2,1,1,7,2,60,2,1,4,Mechatronics engeenerieng
8,GB,2,234,232,152,7,6,4,5,3,2,6,3,5,2,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,4,2,2,2,29,2,1,1,2,2,60,1,1,2,Music
9,US,0,17,195,242,1,4,5,7,5,7,6,7,1,4,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,2,3,1,2,16,1,1,1,12,2,70,2,1,4,Psychology 
10,DE,2,2,120,140,1,7,5,7,5,7,1,2,1,7,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,2,2,18,2,1,1,2,2,60,2,1,3,computer programming
11,US,2,3,162,167,5,3,6,6,3,4,4,7,5,7,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,2,1,1,15,1,1,1,6,1,60,2,1,1,
12,US,2,515,511,121,6,5,6,6,6,2,5,3,3,3,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,2,1,2,1,18,1,1,1,6,1,60,2,1,2,
13,US,0,12,113,148,5,1,4,6,5,5,7,6,2,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,3,0,2,1,20,1,1,1,1,1,60,2,1,2,Sociology
14,EE,2,84,175,162,5,2,5,5,2,6,7,6,6,2,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,4,2,1,2,31,2,1,1,12,1,60,2,1,5,Art
